"Target","Indice","Method","r","Paper_ID"
"Celebrity","RT","First-Second",0.363583822372199,"P51E2"
"Celebrity","RT","Odd-Even",0.227479602343782,"P51E2"
"Celebrity","ACC","First-Second",-0.0973011201974288,"P51E2"
"Celebrity","ACC","Odd-Even",0.233180747259622,"P51E2"
"Celebrity","d Prime","First-Second",0.151933343364648,"P51E2"
"Celebrity","d Prime","Odd-Even",0.484186553843801,"P51E2"
"Celebrity","Efficiency","First-Second",0.129709624409647,"P51E2"
"Celebrity","Efficiency","Odd-Even",0.510785482866904,"P51E2"
"Celebrity","ezDDM v","First-Second",-0.249729379518291,"P51E2"
"Celebrity","ezDDM v","Odd-Even",0.214495166916779,"P51E2"
"Celebrity","ezDDM z","First-Second",-0.254003730805851,"P51E2"
"Celebrity","ezDDM z","Odd-Even",-0.116626258711089,"P51E2"
"Celebrity","rwDDM v","First-Second",-0.0405689620613343,"P51E2"
"Celebrity","rwDDM v","Odd-Even",0.0741126795097254,"P51E2"
"Celebrity","rwDDM z","First-Second",0.0781007834407511,"P51E2"
"Celebrity","rwDDM z","Odd-Even",0.0839529682096099,"P51E2"
